id,dream_text,primary_emotion,secondary_emotion,emotions,intensity
17.0,My lost pet returned home safe and wagging its tail.,relief,,relief,0.64
173.0,A light appeared at the end of a long hallway and kept getting brighter. in slow motion.,hope,embarrassment,hope;embarrassment,0.6
128.0,The sea swallowed the shore and I held onto a floating plank alone.,despair,surprise,despair;surprise,0.82
41.0,A familiar smile reunited me with an old friend and everything felt warm. in an upside-down house.,love,,love,0.94
107.0,A weight lifted from my shoulders and I could breathe easily.,relief,,relief,0.68
171.0,A playground from childhood appeared and I swung until the sun set.,nostalgia,,nostalgia,0.86
99.0,I found an old photograph of someone I lost and couldn't reach them. in slow motion.,sadness,,sadness,0.86
149.0,I opened a tiny door and found a ladder going into the stars. in slow motion.,curiosity,relief,curiosity;relief,0.9
36.0,The sea swallowed the shore and I held onto a floating plank alone. suddenly.,despair,awe,despair;awe,0.8
57.0,A house I loved was empty and full of dust and silence. with my hands tied.,sadness,love,sadness;love,0.75
119.0,I couldn't stop falling and woke up before hitting the ground.,anxiety,,anxiety,0.78
59.0,A playground from childhood appeared and I swung until the sun set. with bright colors.,nostalgia,,nostalgia,0.93
5.0,A familiar smile reunited me with an old friend and everything felt warm. while it rained.,love,,love,0.97
124.0,I followed rabbit holes that led to different eras of my life. with bright colors.,curiosity,,curiosity,0.63
60.0,I followed rabbit holes that led to different eras of my life. while it rained.,curiosity,,curiosity,0.92
32.0,I floated above the city and saw constellations drawn between buildings. with my hands tied.,awe,,awe,0.41
49.0,I smashed a window that wouldn't stop replaying an argument. and the sky was green.,anger,,anger,1.0
172.0,I found a letter saying I've been accepted into my dream program.,joy,,joy,0.59
166.0,I saw my partner waiting at a train station with a huge bouquet. in an upside-down house.,love,loneliness,love;loneliness,0.81
178.0,I walked into a classroom in my pajamas while everyone stared. suddenly.,embarrassment,curiosity,embarrassment;curiosity,0.67
148.0,I floated above the city and saw constellations drawn between buildings.,awe,,awe,0.57
12.0,A shadow followed me through a dark forest and I couldn't see its face.,fear,,fear,0.55
94.0,I opened a tiny door and found a ladder going into the stars. in an upside-down house.,curiosity,despair,curiosity;despair,0.6
,I reunited with my mother in a garden that smelled of cinnamon.,joy,nostalgia,joy;nostalgia,0.85
120.0,I tried to call for help but my voice dissolved into water. and my voice echoed.,despair,confusion,despair;confusion,0.66
15.0,I called a name and there was only an echo back.,loneliness,nostalgia,loneliness;nostalgia,0.59
83.0,A light appeared at the end of a long hallway and kept getting brighter.,hope,,hope,0.67
30.0,I followed rabbit holes that led to different eras of my life.,curiosity,,curiosity,0.81
20.0,I could understand animals and asked a bird where it came from. and my voice echoed.,curiosity,,curiosity,0.72
106.0,I found a ticket with my name to a place I've always dreamed of. with bright colors.,hope,,hope,0.98
98.0,A playground from childhood appeared and I swung until the sun set. with a crowd watching.,nostalgia,,nostalgia,0.68
48.0,I escaped a maze and found a bright field with fresh air. with a crowd watching.,relief,embarrassment,relief;embarrassment,0.8
90.0,Someone destroyed my painting and I couldn't control my rage.,anger,,anger,0.84
111.0,A weight lifted from my shoulders and I could breathe easily.,relief,,relief,0.45
54.0,I watched someone suffer and couldn't help them despite knowing how. in dim light.,guilt,relief,guilt;relief,0.46
175.0,I floated above the city and saw constellations drawn between buildings. and my voice echoed.,awe,,awe,0.98
95.0,I found a ticket with my name to a place I've always dreamed of.,hope,loneliness,hope;loneliness,0.9
161.0,A house I loved was empty and full of dust and silence. in dim light.,sadness,,sadness,0.43
108.0,I escaped a maze and found a bright field with fresh air. and my voice echoed.,relief,surprise,relief;surprise,0.55
123.0,I danced on a rooftop with friends while fireworks burst around us.,joy,guilt,joy;guilt,0.47
169.0,I called a name and there was only an echo back.,loneliness,anxiety,loneliness;anxiety,0.9
70.0,I kept apologizing to people who didn't reply and their faces blurred.,guilt,,guilt,0.58
43.0,All the clocks stopped and I couldn't tell how long I'd been awake.,despair,anger,despair;anger,0.75
18.0,A door opened to a hidden library filled with books about me.,surprise,,surprise,0.45
6.0,I kept apologizing to people who didn't reply and their faces blurred. with my hands tied.,guilt,curiosity,guilt;curiosity,0.76
114.0,I opened a box and found a tiny universe inside that glittered.,surprise,loneliness,surprise;loneliness,0.61
85.0,Strangers suddenly started applauding me for no reason. in slow motion.,surprise,fear,surprise;fear,0.6
139.0,I called a name and there was only an echo back. suddenly.,loneliness,,loneliness,0.59
67.0,My lost pet returned home safe and wagging its tail.,relief,hope,relief;hope,0.59
96.0,My lost pet returned home safe and wagging its tail. with bright colors.,relief,,relief,0.43
180.0,Strangers suddenly started applauding me for no reason.,surprise,,surprise,0.74
162.0,The ground was cracking under my feet while I tried to run. with bright colors.,anxiety,loneliness,anxiety;loneliness,0.65
137.0,I could understand animals and asked a bird where it came from.,curiosity,,curiosity,0.68
121.0,A familiar smile reunited me with an old friend and everything felt warm.,love,,love,0.69
55.0,I opened a tiny door and found a ladder going into the stars. with a crowd watching.,curiosity,,curiosity,0.78
74.0,I broke a vase and every step I took made it crack further.,guilt,,guilt,0.71
117.0,I floated above the city and saw constellations drawn between buildings.,awe,,awe,0.58
40.0,I found an old photograph of someone I lost and couldn't reach them.,sadness,confusion,sadness;confusion,0.91
29.0,I found a letter saying I've been accepted into my dream program. with bright colors.,joy,awe,joy;awe,0.92
45.0,I floated above the city and saw constellations drawn between buildings. suddenly.,awe,fear,awe;fear,0.81
92.0,I sat at a table set for many but only one chair had food.,loneliness,,loneliness,0.99
34.0,I was late for an important exam and couldn't find my notes.,anxiety,,anxiety,0.57
52.0,I watched mountains breathe and change shape like sleeping giants. with a crowd watching.,awe,anger,awe;anger,0.56
19.0,I was late for an important exam and couldn't find my notes.,anxiety,,anxiety,0.88
109.0,A light appeared at the end of a long hallway and kept getting brighter. in dim light.,hope,,hope,0.7
156.0,I found a letter saying I've been accepted into my dream program.,joy,,joy,0.44
125.0,I found a ticket with my name to a place I've always dreamed of.,hope,curiosity,hope;curiosity,0.44
13.0,A light appeared at the end of a long hallway and kept getting brighter.,hope,,hope,0.53
131.0,I ran into my childhood home and everything smelled like fresh bread.,joy,nostalgia,joy;nostalgia,0.89
82.0,A light appeared at the end of a long hallway and kept getting brighter.,hope,,hope,0.66
,I couldn't move but the world moved around me.,fear,,fear,0.9
